"city","country"
"Adelaide","Australia"
"Chennai","India"
"Doha","Qatar"
"Auckland","New Zealand"
"Marseille","France"
"Memphis","United States"
"Rotterdam","Netherlands"
"Mexico City","Mexico"
"Delray Beach","United States"
"Bogota","United States"
"Indian Wells","United States"
"Atlanta","United States"
"Casablanca","Morocco"
"Monte Carlo","Monaco"
"Orlando","United States"
"Bastad","Sweden"
"Gstaad","Switzerland"
"Umag","Croatia"
"Cincinnati","United States"
"Indianapolis","United States"
"Long Island","United States"
"New York","United States"
"Bucharest","Romania"
"Tashkent","Uzbekistan"
"Hong Kong","Hong Kong"
"Tokyo","Japan"
"Shanghai","China"
"Toulouse","France"
"Buenos Aires","Argentina"
"Acapulco","Mexico"
"Salvador","Brazil"
"Amersfoort","Netherlands"
"Bangkok","Thailand"
"Beijing","China"
"New Haven","United States"
"Mumbai","India"
"Kuala Lumpur","Malaysia"
"Zagreb","Croatia"
"Nice","France"
"Montpellier","France"
"Winston-Salem","United States"
"Sao Paulo","Brazil"
"Dusseldorf","Germany"
"Rio de Janeiro","Brazil"
"Quito","Ecuador"
"Istanbul","Turkey"
"Sofia","Bulgaria"
"Chengdu","China"
"Melbourne","Australia"
"San Jose","United States"
"London","United Kingdom"
"Copenhagen","Denmark"
"Santiago","Chile"
"Scottsdale","United States"
"Miami","United States"
"Barcelona","Spain"
"Rome","Italy"
"Hamburg","Germany"
"Paris","France"
"Halle","Germany"
"Nottingham","United Kingdom"
"Newport","United States"
"Amsterdam","Netherlands"
"Stuttgart","Germany"
"Los Angeles","United States"
"San Marino","San Marino"
"Toronto","Canada"
"Washington","United States"
"Palermo","Italy"
"Brighton","United Kingdom"
"Stockholm","Sweden"
"Lisbon","Portugal"
"Houston","United States"
"Sopot","Poland"
"Montreal","Canada"
"Madrid","Spain"
"Valencia","Spain"
"Metz","France"
"Las Vegas","United States"
"Warsaw","Poland"
"Brisbane","Australia"
"Belgrade","Serbia"
"Eastbourne","United Kingdom"
"Moscow","Russia"
"Lyon","France"
"Basel","Switzerland"
"Oeiras","Portugal"
"Geneva","Switzerland"
"Antwerp","Belgium"
"Munich","Germany"
"Vienna","Austria"
"Sydney","Australia"
"Mallorca","Spain"
"St. Polten","Austria"
"Queens Club","United Kingdom"
"Kitzbuhel","Austria"
"St. Petersburg","Russia"
"Vina del Mar","Chile"
"'s-Hertogenbosch","Netherlands"
"s-Hertogenbosch","Netherlands"
"Dubai","United Arab Emirates"
"Estoril","Portugal"
"Costa Do Sauipe","Brasil"
"Ho Chi Min City","China"
"Portschach","Austria"
"Johannesburg","South Africa"
"Shenzhen","China"
"Marrakech","Morocco"
"Los Cabos","Mexico"
