"�..ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B.WW","B.WL","EXW","EXL","PSW","PSL","WPts","LPts","ATP","UBW","UBL","LBW","LBL","SJW","SJL","MaxW","MaxL","AvgW","AvgL","idWinner","idLoser","Match","Result","HeadtoHead","HeadtoHeadMatches","LastHeadtoHead"
"1","Brisbane","Brisbane International","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Mayer F.","Giraldo S.","28","57","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.36","3",NA,NA,"1.45","2.65","1.47","2.85","1215","778",NA,NA,NA,"1.44","2.62","1.44","2.63","1.47","3.2","1.42","2.78","730","405","405-730",-1,0,0,0
"1","Brisbane","Brisbane International","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Nieminen J.","Benneteau J.","41","35","6","3","2","6","6","1","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.61","2.2",NA,NA,"1.75","2","1.8","2.1","927","1075",NA,NA,NA,"1.8","1.91","1.73","2","1.8","2.26","1.73","2.05","816","95","95-816",-1,-5,5,-1
"1","Brisbane","Brisbane International","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Nishikori K.","Matosevic M.","19","49","7","5","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.25","3.75",NA,NA,"1.25","3.75","1.3","3.85","1830","845",NA,NA,NA,"1.29","3.5","1.3","3.2","1.3","4.2","1.28","3.58","821","727","727-821",-1,0,0,0
"1","Brisbane","Brisbane International","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Baghdatis M.","Mitchell B.","36","326","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.07","9",NA,NA,"1.06","8","1.08","9.43","1070","137",NA,NA,NA,"1.08","7","1.07","7","1.1","9.5","1.08","7.76","62","767","62-767",1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Istomin D.","Klizan M.","43","30","6","1","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.9","1.8",NA,NA,"1.87","1.87","1.88","2","897","1175",NA,NA,NA,"1.91","1.8","1.91","1.8","2.05","2","1.88","1.85","512","577","512-577",1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Millman J.","Ito T.","199","79","6","4","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.61","2.2",NA,NA,"1.75","2","1.7","2.27","239","655",NA,NA,NA,"1.73","2","1.8","1.91","1.85","2.28","1.71","2.08","758","513","513-758",-1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Falla A.","Levine J.","54","104","6","1","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"2.2","1.61",NA,NA,"2.08","1.67","2.26","1.7","809","530",NA,NA,NA,"1.91","1.8","2","1.73","2.32","1.83","2.08","1.7","333","655","333-655",1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Melzer J.","Kudla D.","29","137","2","6","6","4","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.44","2.62",NA,NA,"1.55","2.35","1.6","2.47","1177","402",NA,NA,NA,"1.44","2.62","1.5","2.5","1.63","2.82","1.52","2.46","746","615","615-746",-1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Robredo T.","Harrison R.","114","69","6","4","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"3","1.36",NA,NA,"2.5","1.5","2.93","1.45","495","710",NA,NA,NA,"2.38","1.53","2.5","1.5","3.25","1.53","2.66","1.47","951","469","469-951",-1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Dimitrov G.","Baker B.","48","61","6","3","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.36","3",NA,NA,"1.4","2.8","1.38","3.3","866","756",NA,NA,NA,"1.44","2.62","1.4","2.75","1.45","3.55","1.39","2.87","274","66","66-274",-1,0,0,0
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Goffin D.","Ebden M.","46","105","6","2","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.57","2.25",NA,NA,"1.55","2.35","1.65","2.36","868","529",NA,NA,NA,"1.53","2.38","1.53","2.38","1.67","2.4","1.59","2.29","410","301","301-410",-1,-1,1,-1
"1","Brisbane","Brisbane International","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Hewitt L.","Kunitsyn I.","83","162","6","3","4","6","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.2","4.33",NA,NA,"1.17","4.65","1.28","4.02","625","339",NA,NA,NA,"1.22","4","1.2","4","1.28","4.65","1.22","4.07","484","622","484-622",1,-1,1,-1
"1","Brisbane","Brisbane International","1/2/2013","ATP250","Outdoor","Hard","2nd Round","3","Simon G.","Falla A.","16","54","7","6","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.22","4",NA,NA,"1.25","3.75","1.29","4.01","2165","809",NA,NA,NA,"1.25","3.75","1.22","3.75","1.29","4.6","1.26","3.73","1045","333","333-1045",-1,-1,1,-1
"1","Brisbane","Brisbane International","1/2/2013","ATP250","Outdoor","Hard","2nd Round","3","Baghdatis M.","Mayer F.","36","28","6","4","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.44","2.62",NA,NA,"1.5","2.5","1.52","2.73","1070","1215",NA,NA,NA,"1.57","2.25","1.53","2.38","1.57","3.2","1.51","2.5","62","730","62-730",1,1,1,1
"1","Brisbane","Brisbane International","1/2/2013","ATP250","Outdoor","Hard","2nd Round","3","Nishikori K.","Robredo T.","19","114","6","3","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.22","4",NA,NA,"1.25","3.75","1.27","4.18","1830","495",NA,NA,NA,"1.29","3.5","1.25","3.5","1.29","5.1","1.25","3.84","821","951","821-951",1,1,1,1
"1","Brisbane","Brisbane International","1/2/2013","ATP250","Outdoor","Hard","2nd Round","3","Dolgopolov O.","Nieminen J.","18","41","6","2","4","1","","","","","","","1","0","Retired",NA,NA,NA,NA,NA,NA,NA,NA,"1.44","2.62",NA,NA,"1.5","2.5","1.55","2.64","1855","927",NA,NA,NA,"1.5","2.5","1.53","2.38","1.57","2.73","1.49","2.52","282","816","282-816",1,-1,1,-1
"1","Brisbane","Brisbane International","1/3/2013","ATP250","Outdoor","Hard","2nd Round","3","Dimitrov G.","Raonic M.","48","13","6","3","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"2.75","1.4",NA,NA,"2.65","1.45","2.83","1.49","866","2380",NA,NA,NA,"2.75","1.4","2.75","1.4","3.5","1.5","2.73","1.43","274","927","274-927",1,-1,1,-1
"1","Brisbane","Brisbane International","1/3/2013","ATP250","Outdoor","Hard","2nd Round","3","Melzer J.","Goffin D.","29","46","6","4","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"2.25","1.57",NA,NA,"2.25","1.6","2.41","1.64","1177","868",NA,NA,NA,"2.2","1.62","2.2","1.62","2.88","1.67","2.23","1.62","746","410","410-746",-1,-1,1,-1
"1","Brisbane","Brisbane International","1/3/2013","ATP250","Outdoor","Hard","2nd Round","3","Istomin D.","Hewitt L.","43","83","7","5","7","5","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.83","1.83",NA,NA,"2","1.75","1.96","1.94","897","625",NA,NA,NA,"1.83","1.83","1.9","1.9","2.05","2.04","1.93","1.82","512","484","484-512",-1,2,2,1
"1","Brisbane","Brisbane International","1/3/2013","ATP250","Outdoor","Hard","2nd Round","3","Murray A.","Millman J.","3","199","6","1","5","7","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.02","17",NA,NA,"1.02","12","1.03","17.5","8000","239",NA,NA,NA,"1.04","9","1.03","10","1.04","23.75","1.03","13.63","793","758","758-793",-1,0,0,0
"1","Brisbane","Brisbane International","1/4/2013","ATP250","Outdoor","Hard","Quarterfinals","3","Baghdatis M.","Simon G.","36","16","6","3","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.57","2.25",NA,NA,"1.65","2.15","1.7","2.32","1070","2165",NA,NA,NA,"","","1.67","2.2","2","2.52","1.66","2.18","62","1045","62-1045",1,0,4,-1
"1","Brisbane","Brisbane International","1/4/2013","ATP250","Outdoor","Hard","Quarterfinals","3","Nishikori K.","Dolgopolov O.","19","18","6","4","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.61","2.2",NA,NA,"1.65","2.15","1.7","2.31","1830","1855",NA,NA,NA,"1.73","2","1.67","2.25","1.73","2.35","1.65","2.18","821","282","282-821",-1,-1,1,-1
"1","Brisbane","Brisbane International","1/4/2013","ATP250","Outdoor","Hard","Quarterfinals","3","Dimitrov G.","Melzer J.","48","29","6","3","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.4","2.75",NA,NA,"1.4","2.8","1.43","3.14","866","1177",NA,NA,NA,"","","1.44","2.75","1.5","3.25","1.43","2.77","274","746","274-746",1,1,1,1
"1","Brisbane","Brisbane International","1/4/2013","ATP250","Outdoor","Hard","Quarterfinals","3","Murray A.","Istomin D.","3","43","6","4","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.11","6.5",NA,NA,"1.11","6","1.11","8.36","8000","897",NA,NA,NA,"","","1.1","7","1.12","8.4","1.1","6.71","793","512","512-793",-1,0,0,0
"1","Brisbane","Brisbane International","1/5/2013","ATP250","Outdoor","Hard","Semifinals","3","Dimitrov G.","Baghdatis M.","48","36","6","3","5","7","7","6","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.72","2",NA,NA,"1.8","1.95","1.88","2.04","866","1070",NA,NA,NA,"","","1.8","2","1.88","2.12","1.78","1.98","274","62","62-274",-1,0,2,1
"1","Brisbane","Brisbane International","1/5/2013","ATP250","Outdoor","Hard","Semifinals","3","Murray A.","Nishikori K.","3","19","6","4","2","0","","","","","","","1","0","Retired",NA,NA,NA,NA,NA,NA,NA,NA,"1.18","4.5",NA,NA,"1.16","4.75","1.26","4.47","8000","1830",NA,NA,NA,"","","1.17","5","1.27","5","1.2","4.44","793","821","793-821",1,2,2,1
"1","Brisbane","Brisbane International","1/6/2013","ATP250","Outdoor","Hard","The Final","3","Murray A.","Dimitrov G.","3","48","7","6","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.14","5.5",NA,NA,"1.15","5","1.16","6.27","8000","866",NA,NA,NA,"1.17","5","1.17","5","1.18","6.7","1.16","5.23","793","274","274-793",-1,-1,1,-1
"2","Chennai","Chennai Open","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Soeda G.","Donskoy E.","60","81","6","1","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.9","1.8",NA,NA,"1.87","1.87","1.99","1.9","758","637",NA,NA,NA,"1.8","1.91","2","1.73","2","2.05","1.88","1.86","1069","285","285-1069",-1,0,0,0
"2","Chennai","Chennai Open","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Bedene A.","Sousa J.","86","101","6","3","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.36","3",NA,NA,"1.4","2.8","1.43","3.03","583","546",NA,NA,NA,"1.4","2.75","1.4","2.75","1.43","3.5","1.38","2.91","84","1072","84-1072",1,0,0,0
"2","Chennai","Chennai Open","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Haase R.","Bhambri Y.","56","217","7","5","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.22","4",NA,NA,"1.25","3.75","1.28","4.08","780","220",NA,NA,NA,"1.25","3.75","1.29","3.25","1.29","5.1","1.25","3.81","453","104","104-453",-1,0,0,0
"2","Chennai","Chennai Open","12/31/2012","ATP250","Outdoor","Hard","1st Round","3","Roger-Vasselin E.","Kuznetsov An.","102","78","6","3","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"1.53","2.37",NA,NA,"1.6","2.25","1.63","2.4","545","660",NA,NA,NA,"1.62","2.2","1.62","2.2","1.65","2.5","1.6","2.27","959","629","629-959",-1,-1,1,-1
"2","Chennai","Chennai Open","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Bachinger M.","Lu Y.H.","123","59","6","4","3","6","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"3","1.36",NA,NA,"2.8","1.4","3.01","1.43","462","759",NA,NA,NA,"3","1.36","2.75","1.4","4.1","1.44","2.93","1.38","61","680","61-680",1,-1,1,-1
"2","Chennai","Chennai Open","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Stebe C-M.","Sijsling I.","177","68","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"2.5","1.5",NA,NA,"2.5","1.5","2.55","1.57","295","712",NA,NA,NA,"2.62","1.44","2.63","1.44","2.92","1.57","2.51","1.5","1090","1040","1040-1090",-1,0,0,0
"2","Chennai","Chennai Open","1/1/2013","ATP250","Outdoor","Hard","1st Round","3","Amritraj P.","Rufin G.","549","92","6","7","6","2","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,"2.75","1.4",NA,NA,"2.65","1.45","2.94","1.45","51","574",NA,NA,NA,"2.75","1.4","2.63","1.44","3.15","1.49","2.76","1.42","29","971","29-971",1,0,0,0
