"playername","playername2","Sackmann_playername","Sackmann_id"
" Hajek J.","hajek j","Jan Hajek","104225"
"Abdulla M.","abdulla m","Mohammed Abdulla","104558"
"Abel M.","abel m","Maximilian Abel","103948"
"Acasuso J.","acasuso j","Jose Acasuso","104076"
"Adaktusson J.","adaktusson j","Jacob Adaktusson","103623"
"Agaev E.","agaev e","Emin Agaev","103371"
"Agassi A.","agassi a","Andre Agassi","101736"
"Agenor R.","agenor r","Ronald Agenor","101086"
"Ager J.","ager j","Johannes Ager","104325"
"Agostinelli B.","agostinelli b","Bruno Agostinelli","104896"
"Aguilar J.","aguilar j","Jorge Aguilar","104477"
"Ahouda A.","ahouda a","Amine Ahouda","144760"
"Al-Alawi S.K.","al alawi s k","Sultan Khalfan","102956"
"Al Khulaifi N.G.","al khulaifi n g","Nasser Ghanim Al Khulaifi","102285"
"Al Mutawa J.","al mutawa j","Jabor Al Mutawa","106325"
"Alami K.","alami k","Karim Alami","102223"
"Albert M.","albert m","Mariano Albert Ferrando","103988"
"Albot R.","albot r","Radu Albot","105430"
"Alcaide G.","alcaide g","Guillermo Alcaide","104739"
"Aldi F.","aldi f","Francesco Aldi","103849"
"Ali Mutawa J.M.","ali mutawa j m","Jabor Al Mutawa","106325"
"Allegro Y.","allegro y","Yves Allegro","103254"
"Almagro N.","almagro n","Nicolas Almagro","104597"
"Almagro N. ","almagro n","Nicolas Almagro","104597"
"Alonso J.","alonso j","Julian Alonso","103031"
"Altamirano C.","altamirano c","Collin Altamirano","123768"
"Alund M.","alund m","Martin Alund","104651"
"Alvarez E.","alvarez e","Emilio Benfele Alvarez","102135"
"Alves T.","alves t","Thiago Alves","103999"
"Amritraj P.","amritraj p","Prakash Amritraj","104250"
"Ancic M.","ancic m","Mario Ancic","104339"
"Andersen J.","andersen j","Jan Frode Andersen","102107"
"Andersen J.F.","andersen j f","Jan Frode Andersen","102107"
"Anderson A.","anderson a","Andrew Anderson","104158"
"Anderson K.","anderson k","Kevin Anderson","104731"
"Anderson O.","anderson o","Oliver Anderson","117352"
"Andersson H.","andersson h","Henrik Andersson","102983"
"Andreev I.","andreev i","Igor Andreev","104214"
"Andreev I. ","andreev i","Igor Andreev","104214"
"Andreozzi G.","andreozzi g","Guido Andreozzi","105819"
"Androic T.","androic t","Toni Androic","105888"
"Andujar P.","andujar p","Pablo Andujar","104665"
"Aranguren J.M.","aranguren j m","Juan Martin Aranguren","104253"
"Arazi H.","arazi h","Hicham Arazi","102271"
"Arguello F.","arguello f","Facundo Arguello","106032"
