"playername","id"
"abdulla m",1
"abel m",2
"acasuso j",3
"adaktusson j",4
"agaev e",5
"agassi a",6
"agenor r",7
"ager j",8
"agostinelli b",9
"aguilar j",10
"ahouda a",11
"al alawi s k",12
"al ghareeb m",13
"al khulaifi n g",14
"al mutawa j",15
"alami k",16
"albert m",17
"albot r",18
"alcaide g",19
"aldi f",20
"ali mutawa j m",21
"allegro y",22
"almagro n",23
"alonso j",24
"altamirano c",25
"alund m",26
"alvarez e",27
"alves t",28
"amritraj p",29
"ancic i",30
"ancic m",31
"andersen j",32
"andersen j f",33
"anderson a",34
"anderson k",35
"anderson o",36
"andersson h",37
"andreev i",38
"andreozzi g",39
"androic t",40
"andujar p",41
"aranguren j m",42
"arazi h",43
"arguello f",44
"armando h",45
"arnaboldi a",46
"arnold l",47
"arquez p",48
"arthurs w",49
"artunedo martinavarro a",50
"arvidsson i",51
"ascione a",52
"ascione t",53
"auckland j",54
"authom m",55
"awadhy o",56
"ayala d",57
"azzaro l",58
"baccanello p",59
"bachelot j f",60
"bachinger m",61
"baghdatis m",62
"bagnis f",63
"bahrouzyan o",64
"bai y",65
"baker b",66
"baker j",67
"balazs a",68
"balcells j",69
"ball c",70
"balleret b",71
"baluda v",72
"barrere g",73
"barrientos n",74
"barton m",75
"basic m",76
"basilashvili n",77
"bastl g",78
"bautista agut r",79
"bautista r",80
"beck a",81
"beck k",82
"becker b",83
"bedene a",84
"behr n",85
"behrend t",86
"behrmann m",87
"belal c",88
"belic l",89
"bellier a",90
"bellucci t",91
"belyaev i",92
"bemelmans r",93
"benneteau a",94
"benneteau j",95
"berankis r",96
"berasategui a",97
"berdych t",98
"berlocq c",99
"berrer m",100
"berta d",101
"bester p",102
"betov s",103
"bhambri y",104
"bhupathi m",105
"biryukov m",106
"bjorkman j",107
"black b",108
"black w",109
"blake j",110
"blake t",111
"blanco g",112
"bloomfield r",113
"boeker m",114
"bogaerts r",115
"bogdanovic a",116
"bogomolov a",117
"bogomolov jr a",118
"bohaboy d",119
"bohane a",120
"bohli s",121
"bolelli s",122
"bolt a",123
"bopanna r",124
"boruszewski j",125
"borvanov r",126
"bossel a",127
"bourgeois l",128
"bourgue m",129
"boutter j",130
"bower j",131
"bowles c",132
"bozic i",133
"bozoljac i",134
"braasch k",135
"bracciali d",136
"braga p",137
"brands d",138
"brasington j",139
"breen m",140
"britton d",141
"brizzi a",142
"broady l",143
"brown d",144
"browne f",145
"bruguera s",146
"brugues davi a",147
"bryan b",148
"bryan m",149
"brzezicki j p",150
"bubka s",151
"bublik a",152
"buchanan c",153
"burgsmuller l",154
"burniol g",155
"burquier g",156
"burrieza o",157
"cabal j s",158
"cabello f",159
"cachin p",160
"cacic n",161
"cadart r",162
"cakl t",163
"calatrava a",164
"caldwell d",165
"calleri a",166
"canas g",167
"capalik k",168
"capdeville p",169
"caratti c",170
"carballes baena r",171
"carlsen k",172
"carlson a",173
"carraz g",174
"carreno busta p",175
"carretero r",176
"caruso s",177
"cecchinato m",178
"cermak f",179
"cervantes i",180
"cervenak p",181
"chadaj a",182
"chaen t",183
"chaki r",184
"chang m",185
"chardy j",186
"charpentier m",187
"chekov p",188
"chela j",189
"chen t",190
"cherkasov a",191
"childs l",192
"chiudinelli m",193
"choinski j",194
"chung h",195
"chvojka e",196
"cilic m",197
"ciorcila p",198
"cipolla f",199
"clavet f",200
"clayton a",201
"clemens t",202
"clement a",203
"clezar g",204
"cobolli s",205
"coetzee j",206
"condor f",207
"cook l",208
"copil m",209
"coppejans k",210
"coria g",211
"coric b",212
"corretja a",213
"corrie e",214
"cortes j",215
"costa a",216
"costa f",217
"courier j",218
"coutelot n",219
"couto e",220
"cowan b",221
"cox d",222
"crabb j",223
"craca m",224
"crivoi v",225
"cruciat a",226
"crugnola m",227
"cuadrado c",228
"cuevas p",229
"dabrowski b",230
"dabul b",231
"dailey z",232
"damm m",233
"dancevic f",234
"daniel m",235
"daniel t",236
"darcis s",237
"dasnieres de veigy j",238
"davletshin v",239
"davydenko n",240
"davydenko p",241
"de bakker t",242
"de chaunac s",243
"de greef a",244
"de heart r",245
"de loore j",246
"de paula f",247
"de schepper k",248
"de voest r",249
"decoud s",250
"deen heshaam a",251
"deheart r",252
"del bonis f",253
"del potro j",254
"delbonis f",255
"delfino m",256
"delgado j",257
"delgado r",258
"delic a",259
"delic m",260
"dell acqua m",261
"demoliner m",262
"dent t",263
"derepasko a",264
"desein n",265
"dev varman s",266
"devilder n",267
"devvarman s",268
"dewulf f",269
"di mauro a",270
"di pasquale a",271
"diaz j",272
"diez s",273
"dimitrov g",274
"djere l",275
"djokovic m",276
"djokovic n",277
"dlouhy l",278
"do m q",279
"dodig i",280
"dolgopolov a",281
"dolgopolov o",282
"donaldson j",283
"donati m",284
"donskoy e",285
"dorsch b",286
"dosedel s",287
"draper s",288
"dreekmann h",289
"duckworth j",290
"duclos p l",291
"dupre t",292
"dupuis a",293
"durek r",294
"dustov f",295
"dutra da silva r",296
"dutra silva r",297
"dzumhur d",298
"eagle j",299
"eaton c",300
"ebden m",301
"ebelthite c",302
"echagaray b",303
"economidis k",304
"edmund k",305
"ehrat s",306
"eitzinger r",307
"el aarej m",308
"el amrani r",309
"el aynaoui y",310
"eleskovic e",311
"elgin m",312
"elias g",313
"ellwood b",314
"elseneer g",315
"elsner d",316
"emmrich m",317
"enqvist t",318
"eriksson m",319
"erlich j",320
"eschauer w",321
"escobar g",322
"escobedo e",323
"escude n",324
"estrella v",325
"etlis g",326
"eubanks c",327
"evans b",328
"evans d",329
"eysseric j",330
"fabbiano t",331
"fahlke a",332
"falla a",333
"farah r",334
"fasching a",335
"faurel j c",336
"federer r",337
"ferreira w",338
"ferreiro f",339
"ferrer d",340
"ferrero j",341
"ferrero j c",342
"fidirko n",343
"filippini m",344
"fischer m",345
"fish a",346
"fish m",347
"fitz s",348
"flanagan i",349
"fleischfresser t",350
"fleishman z",351
"fleming c",352
"flygt k",353
"fnisk",354
"fognini f",355
"fogues f",356
"fornell m",357
"fraile g",358
"fratangelo b",359
"freelove o",360
"friedl l",361
"fritz t",362
"froberg j",363
"fromberg r",364
"fruttero j p",365
"fucsovics m",366
"fukarek o",367
"furlan r",368
"fyrstenberg m",369
"gabashvili t",370
"gaio f",371
"galan d e",372
"galdon p",373
"galimberti g",374
"gallardo m",375
"galovic v",376
"galvani s",377
"gambill j m",378
"gamonal h",379
"gao x",380
"garcia a",381
"garcia lopez g",382
"garcia m",383
"garcia sintes j",384
"gard c",385
"garin c",386
"garza d",387
"gasquet r",388
"gaudenzi a",389
"gaudi i",390
"gaudio g",391
"gensse a",392
"gerasimov e",393
"ghedin r",394
"ghem a",395
"giannessi a",396
"gicquel m",397
"gigounon g",398
"gil f",399
"gimelstob j",400
"gimeno d",401
"gimeno traver d",402
"ginepri r",403
"giner j",404
"giraldo s",405
"giron m",406
"giustino l",407
"godwin n",408
"goellner m k",409
"goffin d",410
"gojowczyk p",411
"golding o",412
"goldstein p",413
"golmard j",414
"golovanov d",415
"golubev a",416
"gombos n",417
"gomez a",418
"gomez e",419
"gomez herrera c",420
"gomez l",421
"gong m x",422
"gonzalez a",423
"gonzalez f",424
"gonzalez m",425
"gonzalez p",426
"gonzalez s",427
"goodall j",428
"gooding j",429
"goransson t",430
"granollers m",431
"granollers pujol g",432
"gregorc l",433
"gremelmayr d",434
"greul s",435
"grigelis l",436
"grosjean s",437
"gross o",438
"groth s",439
"gruber k",440
"guardiola t",441
"guccione a",442
"guccione c",443
"guez d",444
"gulbis e",445
"gumy h",446
"gustafsson m",447
"gutierrez ferrol s",448
"guzman j",449
"guzman j p",450
"haas p",451
"haas t",452
"haase r",453
"hadad a",454
"hadad m",455
"haehnel j",456
"haider maurer a",457
"hajek j",458
"hajji a",459
"halys q",460
"hamou m",461
"hanescu v",462
"hank t",463
"hanley p",464
"hantschk m",465
"harboe p",466
"harper griffith l",467
"harrison c",468
"harrison r",469
"harsanyi p",470
"hartfield d",471
"healey n",472
"hellstrom m",473
"hemery c",474
"hemmes f",475
"henman t",476
"henry r",477
"herbert p h",478
"herm zahlava j",479
"hernandez a",480
"hernandez o",481
"hernych j",482
"heuberger i",483
"hewitt l",484
"hill m",485
"hilton m",486
"hipfl m",487
"hippensteel k",488
"hirigoyen i",489
"hocevar r",490
"hood m",491
"hormazabal g",492
"horna l",493
"hossam k",494
"hrbaty d",495
"huet s",496
"hui j",497
"humphries s",498
"huta galung j",499
"hutchins r",500
"ianni s",501
"idmbarek y",502
"ignatik u",503
"ilhan m",504
"ilie a",505
"ilkel c",506
"im k t",507
"inglot d",508
"ionita v",509
"ishii y",510
"isner j",511
"istomin d",512
"ito t",513
"ito y",514
"ittogi t",515
"ivanisevic g",516
"ivanov smolensky k",517
"ivashka i",518
"iwabuchi s",519
"iwami t",520
"janowicz j",521
"jarry n",522
"jasika o",523
"jaziri m",524
"jeanpierre j",525
"jelenic p",526
"jenkins s",527
"jensen l",528
"jeong s y",529
"jiang s",530
"johansson j",531
"johansson t",532
"johnson s",533
"jones a",534
"jones g",535
"jones g d",536
"jonsson f",537
"jouan r",538
"joyce m",539
"jun w",540
"junaid r",541
"junqueira d",542
"kafelnikov y",543
"kamke t",544
"karanusic r",545
"karatsev a",546
"karbacher b",547
"karlovic i",548
"kauffmann c",549
"kavcic b",550
"kempes e",551
"kendrick r",552
"kennedy a",553
"kern r",554
"ketola t",555
"khachanov k",556
"khaddari h",557
"khalfan s",558
"kicker n",559
"kiefer n",560
"kilderry p",561
"kim a",562
"kim k",563
"kimmich m",564
"kindlmann d",565
"king d",566
"king e",567
"king k",568
"king p",569
"king turner d",570
"kirillov e",571
"klaasen r",572
"klahn b",573
"klec i",574
"klein b",575
"klein t",576
"klizan m",577
"kloer s",578
"knippschild j",579
"knittel b",580
"knowle j",581
"knowles m",582
"koderisch c",583
"koellerer d",584
"koenig r",585
"kohlmann m",586
"kohlschreiber p",587
"kokkinakis t",588
"koll h",589
"kondo h",590
"koning m",591
"kontinen h",592
"kornienko i",593
"korolev e",594
"korteling s",595
"kosakowski d",596
"koubek s",597
"kovalik j",598
"kozlov s",599
"krajan z",600
"krajicek a",601
"krajicek r",602
"krajinovic f",603
"kralert p",604
"kratochvil m",605
"kravchuk k",606
"krawietz k",607
"kroslak j",608
"krstin p",609
"krueger m",610
"kubler j",611
"kubot l",612
"kucera k",613
"kucera v",614
"kudla d",615
"kudryavtsev a",616
"kuerten g",617
"kukushkin m",618
"kulti n",619
"kumantsov a",620
"kumar s",621
"kunitsyn i",622
"kutac r",623
"kutrovsky d",624
"kutsenko v",625
"kuzmanov d",626
"kuznetsov a",627
"kuznetsov al",628
"kuznetsov an",629
"kyrgios n",630
"laaksonen h",631
"labadze i",632
"lacko l",633
"lajola d",634
"lajovic d",635
"lama g",636
"lamasine t",637
"lammer m",638
"landsberg j",639
"langer n",640
"lapentti g",641
