"playername","id","Ratings","games","games_won","Hard_Ratings","Hard_games","Hard_games_won","Grass_Ratings","Grass_games","Grass_games_won","Clay_Ratings","Clay_games","Clay_games_won","Carpet_Ratings","Carpet_games","Carpet_games_won","NotHard_Ratings","NotHard_games","NotHard_games_won","Bo3_Ratings","Bo3_games","Bo3_games_won","Bo5_Ratings","Bo5_games","Bo5_games_won"
"abdulla m",1,1491.72524463075,1,0,1488.33861813623,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1491.52210987077,1,0,1500,0,0
"abel m",2,1464.14827410057,9,2,1473.85607794042,5,1,1491.03469087827,1,0,1490.33042288906,3,1,1500,0,0,1481.40170277464,4,1,1470.4335531043,8,2,1484.73478182651,1,0
"acasuso j",3,1597.88775166957,359,181,1521.62158518592,106,42,1406.23436294037,8,0,1636.54328287755,233,135,1455.59892868514,12,4,1609.76566330908,253,139,1593.17705753623,313,167,1427.53604483251,46,14
"adaktusson j",4,1490.65503274911,1,0,1489.46962825913,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1485.52307406227,1,0
"agaev e",5,1489.65024821517,1,0,1488.17194499842,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.69325948349,1,0,1500,0,0
"agassi a",6,1810.86771303128,350,266,1820.35508042514,256,201,1596.98059967418,29,20,1664.30816948174,58,40,1534.6156575585,7,5,1675.59578644454,94,65,1789.29338947604,237,175,1788.15096788118,113,91
"agenor r",7,1392.84415329499,26,7,1450.78502335265,11,3,1487.5,3,1,1435.52180833583,12,3,1500,0,0,1424.485766117,15,4,1407.3655049372,22,6,1476.29961122624,4,1
"ager j",8,1473.56254948287,2,0,1500,0,0,1500,0,0,1475.16858467856,2,0,1500,0,0,1474.71971200426,2,0,1474.40244638499,2,0,1500,0,0
"agostinelli b",9,1485.30449349858,1,0,1485.84836184244,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1485.77717841385,1,0,1500,0,0
"aguilar j",10,1473.46668256531,6,1,1500,0,0,1500,0,0,1471.76205279733,6,1,1500,0,0,1472.71271994591,6,1,1477.36094484033,5,1,1493.28570440508,1,0
"ahouda a",11,1488.94947730642,1,0,1500,0,0,1500,0,0,1489.5729383975,1,0,1500,0,0,1488.9150181755,1,0,1489.09459166811,1,0,1500,0,0
"al alawi s k",12,1477.35382814485,2,0,1476.70103448973,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1476.67976854134,2,0,1500,0,0
