"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed","CountryCode","Continent"
"Dosedel S.",1434.7889910047,57,1462.82929900626,30,1503.43710123715,4,1447.35987841723,23,1500,0,"CZE","R",58,5
"Enqvist T.",1526.66337280709,212,1539.2328840604,146,1516.74506941645,21,1505.4765604472,45,1500,0,"SWE","R",181,5
"Escude N.",1673.65024723614,160,1673.9017187986,104,1556.98870418072,28,1471.8211874659,28,1500,0,"FRA","R",70,5
"Federer R.",2061.9024662171,322,1973.30253793219,202,1755.35987638976,49,1737.844771151,71,1500,0,"SUI","R",198,5
"Fromberg R.",1424.67685169546,49,1489.32778448696,26,1499.97390033039,4,1425.45951286671,19,1500,0,"AUS","R",16,7
"Gambill J.M.",1510.10633648216,242,1541.3960956007,180,1515.0079878689,33,1403.09266492494,29,1500,0,"USA","R",222,6
"Grosjean S.",1693.16046850163,272,1657.93240048529,167,1657.86412884166,37,1583.15491242667,68,1500,0,"FRA","R",70,5
"Henman T.",1758.16508054153,285,1715.59259006924,183,1649.4366604382,43,1628.56184872408,59,1500,0,"GBR","R",76,5
"Hewitt L.",1905.33484168878,335,1864.12373030841,223,1720.44144612406,47,1705.97380825836,65,1500,0,"AUS","R",16,7
"Lisnard J.",1487.55878571845,25,1477.60366353257,10,1500,0,1491.99136167875,15,1500,0,"MON","R",131,5
"Martin A.",1543.49812100023,242,1487.75740017404,96,1450.30864896316,10,1579.51210828768,136,1500,0,"ARG","U",11,8
"Norman M.",1503.33912310521,181,1552.00588035345,106,1500.00930234136,2,1503.42985224054,73,1500,0,"USA","U",222,6
"Petrovic D.",1462.8263088103,8,1478.42972217522,4,1480.56479857953,4,1500,0,1500,0,"SRB","R",194,5
"Sekulov J.",1444.98926963093,12,1463.09543756552,10,1489.10827764016,1,1489.11601666457,1,1500,0,"AUS","R",16,7
"Stoltenberg J.",1529.99695043805,49,1502.86109234432,32,1509.90593870699,7,1538.6257626958,10,1500,0,"AUS","R",16,7
"Vinck C.",1406.77648755859,34,1442.56634220314,16,1499.99833677596,8,1448.24682565461,10,1500,0,"BEL","U",22,5
"Agenor R.",1408.42764574111,26,1457.89856950171,11,1489.7,3,1445.51447020802,12,1500,0,"USA","R",222,6
"Behrend T.",1456.79047915147,70,1465.14648656214,26,1488.80455520519,1,1466.79061628284,43,1500,0,"GER","R",59,5
"Damm M.",1437.59558656644,41,1447.42866257009,21,1498.16767123989,12,1484.35457980081,8,1500,0,"CZE","R",58,5
