"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Dosedel S.",1434.7889910047,57,1462.82929900626,30,1503.43710123715,4,1447.35987841723,23,1500,0,"CZE","R"
"Enqvist T.",1511.43815931788,228,1541.0369206369,159,1506.21529753212,22,1486.96524690425,47,1500,0,"SWE","R"
"Escude N.",1673.65024723614,160,1673.9017187986,104,1556.98870418072,28,1471.8211874659,28,1500,0,"FRA","R"
"Federer R.",2136.4926168464,924,2073.5974720395,587,1919.01701284814,124,1965.53115102465,213,1500,0,"SUI","R"
"Fromberg R.",1424.67685169546,49,1489.32778448696,26,1499.97390033039,4,1425.45951286671,19,1500,0,"AUS","R"
"Gambill J.M.",1479.03358862912,260,1497.70411895901,197,1515.0079878689,33,1398.43853890115,30,1500,0,"USA","R"
"Grosjean S.",1514.99211094591,419,1503.61183616895,258,1603.16251287318,62,1588.49200323921,99,1500,0,"FRA","R"
"Henman T.",1618.94286900147,386,1629.41159049184,249,1635.21389092335,60,1589.12982943077,77,1500,0,"GBR","R"
"Hewitt L.",1704.06443175928,621,1660.17572368347,403,1720.64485206244,109,1712.38537236993,109,1500,0,"AUS","R"
"Lisnard J.",1458.54044731707,28,1454.23518848143,12,1500,0,1481.48282688026,16,1500,0,"MON","R"
"Martin A.",1479.99131077596,396,1397.15880595673,136,1429.86363283339,18,1533.47529285283,242,1500,0,"ARG","U"
"Norman M.",1503.33912310521,181,1552.00588035345,106,1500.00930234136,2,1503.42985224054,73,1500,0,"USA","U"
"Petrovic D.",1462.8263088103,8,1478.42972217522,4,1480.56479857953,4,1500,0,1500,0,"SRB","R"
"Sekulov J.",1444.98926963093,12,1463.09543756552,10,1489.10827764016,1,1489.11601666457,1,1500,0,"AUS","R"
"Stoltenberg J.",1529.99695043805,49,1502.86109234432,32,1509.90593870699,7,1538.6257626958,10,1500,0,"AUS","R"
"Vinck C.",1406.77648755859,34,1442.56634220314,16,1499.99833677596,8,1448.24682565461,10,1500,0,"BEL","U"
"Agenor R.",1408.42764574111,26,1457.89856950171,11,1489.7,3,1445.51447020802,12,1500,0,"USA","R"
"Behrend T.",1400.56370399758,104,1413.17385087778,35,1461.82450343025,4,1463.98824992727,65,1500,0,"GER","R"
"Damm M.",1437.59558656644,41,1447.42866257009,21,1498.16767123989,12,1484.35457980081,8,1500,0,"CZE","R"
"Delgado J.",1407.3015558357,37,1439.88401618954,15,1436.95013255741,21,1491.98110219773,1,1500,0,"ESP","U"
"Golmard J.",1530.08005964101,136,1563.52698662496,86,1461.81841895042,12,1517.87597360271,38,1500,0,"FRA","L"
