"ï..ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B.WW","B.WL","EXW","EXL","PSW","PSL"
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Dosedel S.","Ljubicic I.","63","77","6","4","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Enqvist T.","Clement A.","5","56","6","3","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Escude N.","Baccanello P.","40","655","6","7","7","5","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Federer R.","Knippschild J.","65","87","6","1","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Fromberg R.","Woodbridge T.","81","198","7","6","5","7","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Gambill J.M.","Arthurs W.","58","105","3","6","7","6","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Grosjean S.","Ilie A.","26","51","6","2","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Henman T.","Balcells J.","11","218","6","4","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Hewitt L.","Woodforde M.","24","129","6","3","2","6","6","1","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Lisnard J.","Tebbutt M.","134","351","7","6","6","7","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Martin A.","Spadea V.","55","21","6","2","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Norman M.","Draper S.","15","155","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Petrovic D.","Huet S.","208","122","3","6","6","3","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Sekulov J.","Pozzi G.","142","79","6","4","2","6","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Stoltenberg J.","Hrbaty D.","84","20","6","3","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","1st Round","3","Vinck C.","Goldstein P.","227","88","3","6","6","3","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Enqvist T.","Federer R.","5","65","7","6","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Escude N.","Dosedel S.","40","63","7","6","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Grosjean S.","Gambill J.M.","26","58","3","6","7","6","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Henman T.","Lisnard J.","11","134","3","6","6","4","6","2","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Hewitt L.","Petrovic D.","24","208","6","0","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Martin A.","Sekulov J.","55","142","7","6","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Norman M.","Fromberg R.","15","81","7","5","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","2nd Round","3","Stoltenberg J.","Vinck C.","84","227","3","6","6","4","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","Quarterfinals","3","Enqvist T.","Grosjean S.","5","26","7","6","7","5","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","Quarterfinals","3","Escude N.","Henman T.","40","11","6","3","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","Adelaide","Australian Hardcourt Championships","1/3/2000","International","Outdoor","Hard","Quarterfinals","3","Hewitt L.","Stoltenberg J.","24","84","6","2","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
