Formula for K is C * b ^ games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimum found at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,0.9975,0.9976,0.9977,0.9978,0.9979,0.998,0.9981,0.9982,0.9983,0.9984,0.9985,0.9986,0.9987,0.9988,0.9989,0.999,0.9991,0.9992,0.9993,0.9994,0.9995,0.999525,0.99955,0.999575,0.9996,0.999625,0.99965,0.999675,0.9997,0.999725,0.99975,0.999775,0.9998,0.999825,0.99985,0.999875,0.9999,0.999925
,30,,,,,,,,,,,,,,,,,,,,,,0.579969699,0.579932683,0.579896775,0.579861973,0.579828272,0.579795667,0.579764152,0.579733723,0.579704372,0.579676095,0.579648884,0.579622731,0.579597631,0.579573575,0.579550555,0.579528565,0.579507595
,31,,,,,,,,,,,,,,,,,,,,,,0.579792589,0.579759545,0.579727589,0.579696718,0.579666925,0.579638206,0.579610554,0.579583964,0.579558428,0.579533939,0.579510491,0.579488076,0.579466687,0.579446316,0.579426954,0.579408595,0.57939123
,32,,,,,,,,,,,,,,,,,,,,,,0.579643232,0.579613955,0.579585745,0.579558598,0.579532508,0.579507467,0.579483471,0.579460512,0.579438583,0.579417677,0.579397787,0.579378905,0.579361022,0.579344133,0.579328228,0.5793133,0.579299341
,33,,,,,,,,,,,,,,,,,,,,,,0.579518856,0.579493153,0.579468496,0.57944488,0.579422298,0.579400744,0.57938021,0.57936069,0.579342177,0.579324662,0.579308139,0.579292601,0.579278038,0.579264444,0.579251811,0.579240132,0.579229398
,34,,,,,,,,,,,,,,,,,,,,,,0.579416994,0.579394684,0.5793734,0.579353134,0.579333881,0.579315632,0.579298382,0.579282123,0.579266848,0.579252548,0.579239218,0.579226849,0.579215434,0.579204965,0.579195436,0.579186837,0.579179163
,35,0.583908396,0.583596345,0.583285661,0.582977613,0.582673542,0.582374845,0.582082948,0.581799282,0.581525252,0.581262212,0.581011431,0.580774069,0.58055115,0.580343544,0.580151949,0.579976885,0.57981869,0.579677527,0.579553398,0.579446158,0.579355543,0.579335447,0.579316362,0.579298281,0.579281198,0.579265105,0.579249996,0.579235864,0.579222701,0.5792105,0.579199254,0.579188956,0.579179597,0.579171172,0.579163673,0.579157092,0.579151423,0.579146659
,36,0.583607917,0.583303665,0.583001316,0.582702159,0.582407551,0.582118889,0.581837595,0.581565077,0.58130271,0.581051804,0.580813571,0.580589105,0.580379355,0.580185109,0.580006981,0.579845405,0.579700639,0.57957277,0.579461733,0.579367332,0.579289264,0.579272255,0.579256237,0.579241203,0.579227146,0.579214059,0.579201935,0.579190767,0.579180549,0.579171272,0.57916293,0.579155516,0.579149022,0.579143442,0.57913877,0.579134998,0.579132119,0.579130128
,37,0.583330733,0.583034243,0.582740177,0.582449844,0.582164607,0.581885866,0.581615026,0.581353476,0.581102554,0.58086352,0.580637531,0.580425611,0.580228635,0.580047311,0.579882169,0.579733566,0.579601681,0.579486535,0.579388005,0.579305849,0.579239733,0.579225664,0.579212567,0.579200434,0.579189259,0.579179034,0.579169753,0.579161409,0.579153995,0.579147504,0.579141929,0.579137264,0.579133502,0.579130636,0.57912866,0.579127569,0.579127355,0.579128013
,38,0.583075186,0.582786407,0.582500561,0.58221897,0.581943003,0.581674053,0.581413511,0.581162737,0.58092303,0.580695601,0.580481546,0.580281821,0.580097226,0.57992839,0.579775767,0.579639635,0.579520106,0.579417138,0.579330559,0.57926009,0.579205373,0.579194109,0.579183796,0.57917443,0.579166003,0.579158508,0.579151938,0.579146288,0.57914155,0.579137717,0.579134784,0.579132744,0.579131591,0.579131319,0.579131922,0.579133393,0.579135729,0.579138923
,39,0.582839746,0.58255862,0.58228092,0.58200798,0.581741168,0.581481871,0.58123146,0.580991262,0.580762536,0.580546439,0.580344007,0.580156126,0.579983523,0.579826752,0.579686191,0.579562048,0.57945437,0.579363063,0.579287911,0.579228605,0.579184773,0.579176185,0.579168532,0.579161807,0.579156004,0.579151116,0.579147138,0.579144061,0.579141881,0.579140591,0.579140185,0.579140657,0.579142001,0.579144212,0.579147285,0.579151214,0.579155994,0.57916162
,40,0.582623008,0.582349466,0.58207983,0.58181544,0.581557663,0.581307873,0.581067417,0.58083759,0.580619604,0.580414565,0.580223444,0.58004706,0.579886066,0.579740945,0.579612005,0.579499386,0.57940308,0.579322943,0.579258724,0.579210091,0.579176663,0.579170634,0.579165524,0.579161326,0.579158033,0.57915564,0.579154141,0.579153528,0.579153798,0.579154943,0.579156958,0.579159838,0.579163577,0.579168172,0.579173615,0.579179904,0.579187033,0.579194999
,41,0.582423674,0.582157641,0.581895979,0.581640032,0.581391162,0.581150726,0.580920046,0.580700379,0.580492893,0.580298635,0.580118515,0.579953285,0.579803527,0.579669654,0.579551907,0.579450368,0.579364975,0.579295543,0.579241793,0.579203376,0.579179907,0.579176328,0.579173653,0.579171875,0.579170987,0.579170985,0.579171862,0.579173613,0.579176232,0.579179714,0.579184054,0.579189247,0.579195288,0.579202173,0.579209898,0.579218457,0.579227849,0.579238068
,42,0.582240546,0.581981942,0.581728159,0.581480543,0.581240446,0.581009208,0.58078812,0.580578402,0.580381171,0.58019742,0.580027995,0.579873581,0.579734694,0.579611679,0.579504716,0.579413831,0.579338915,0.57927975,0.579236033,0.579207404,0.57919348,0.579192251,0.579191911,0.579192455,0.579193875,0.579196168,0.579199327,0.579203348,0.579208225,0.579213954,0.57922053,0.579227949,0.579236206,0.579245298,0.579255221,0.57926597,0.579277544,0.579289938
